id_n,Year,newloss1,newloss2,newloss3,newloss4,newloss5
141,2022,0,0,0,0,0
142,2022,25913616.56,0,0,0,32581465
143,2022,35610179.29,37851888,97540475,57802281,0
144,2022,10861942.67,0,0,0,0
145,2022,0,0,0,0,0
146,2022,379878218.6,0,173529173,1602151413,222022944
147,2022,0,0,0,0,0
148,2022,7022943.4,50026614,0,0,0
149,2022,8639860.5,0,0,0,0
150,2022,0,0,0,0,0
151,2022,92834125.4,115515419,183025992,239358377,0
152,2022,24053572.5,25055100,679526250,721217000,27277650
153,2022,0,0,0,0,0
154,2022,3050697,0,0,0,0
155,2022,50176200,602315061,298084769,0,978946725
156,2022,16737441.05,7957988,0,0,0
157,2022,0,0,0,0,0
158,2022,17013502.5,17721900,5157375,0,0
159,2022,67548438.85,71590505,139710621,0,0
160,2022,24640245,26607000,26177500,41287390,0
161,2022,7388530,1200000,16198068,3600000,0
162,2022,0,0,0,0,0
163,2022,7980000,0,0,0,0
164,2022,0,0,72275632.51,0,0
165,2022,24443120,25607000,25677500,25513000,25469000
166,2022,19772442.75,19077429,21205913,17394628,0
167,2022,10642239.15,10977600,10908000,10924800,21438500
168,2022,47844688.94,49799019,46133242,42466967,24830228
169,2022,790325392.2,355427044,0,0,0
170,2022,16713203.7,0,0,0,0
171,2022,25909115.35,12986285,10124749,14268819,5910761
172,2022,0,0,21940991.55,0,0
173,2022,6397500.45,3857919,7240550,0,0
174,2022,440865082.2,0,0,0,0
175,2022,0,0,0,0,0
176,2022,37703600,2771050,13363535,21545588,0
177,2022,94071759.52,0,0,0,0
178,2022,0,9480922,3561312,0,0
179,2022,58291924,0,0,0,0
180,2022,539995231.4,289137045,401122980,417438113,194863161
181,2022,99968994,91598110,38694500,0,0
182,2022,33753500,0,0,0,0
183,2022,346604536.1,0,0,0,0
184,2022,66735139.25,71159980,105896499,0,0
185,2022,16768546.9,0,0,0,0
186,2022,3938358,4128780,0,0,0
187,2022,28277340.9,29765622,29284200,12228600,0
188,2022,0,0,0,0,0
189,2022,0,0,0,0,0
190,2022,15331238.7,18630402,30609891,51859036,15573250
191,2022,22273881.45,0,0,0,0
192,2022,30946154.05,32522100,8250950,0,0
193,2022,70496175,0,0,0,0
194,2022,320736910,416624518,0,0,0
195,2022,0,0,0,0,0
196,2022,3570518.95,45294259,36580320,44186159,4739294
197,2022,40195631.58,7460512,0,0,0
198,2022,0,0,0,0,0
199,2022,22135332.5,24044016,18301884,79665330,79868956
200,2022,0,207013058,15317475,0,0
